Cst_Cnt,Btl_Cnt,Depthm,T_degC,Salnty
1,1,0,10.5,33.44
1,2,8,10.46,33.44
1,3,10,10.46,33.437
1,4,19,10.45,33.42
1,5,20,10.45,33.421
1,6,30,10.45,33.431
1,7,39,10.45,33.44
1,8,50,10.24,33.424
1,9,58,10.06,33.42
1,10,75,9.86,33.494
1,11,78,9.83,33.51
1,12,100,9.67,33.58
1,13,117,9.5,33.64
1,14,125,9.32,33.689
1,15,150,8.76,33.847
1,16,152,8.71,33.86
1,17,200,8.53,33.876
1,19,250,8.26,33.926
1,20,285,7.96,33.98
1,21,300,7.77,33.99
1,22,373,6.8,34.04
1,23,400,6.55,34.056
1,24,500,5.78,34.113
1,25,598,5.3,34.16
1,26,600,5.29,34.161
1,27,700,5.01,34.21
1,28,800,4.72,34.261
1,29,896,4.44,34.31
2,30,0,10.1,32.95
2,31,10,9.89,32.94
2,32,20,9.75,32.939
2,33,24,9.69,32.95
2,34,30,9.52,33.013
2,35,47,9.06,33.24
2,36,50,9.04,33.272
2,37,71,8.92,33.46
2,38,75,8.83,33.488
2,39,94,8.37,33.6
2,40,100,8.26,33.631
2,41,125,7.85,33.745
2,42,140,7.64,33.8
2,43,150,7.5,33.833
2,44,189,6.98,33.93
2,45,200,6.85,33.939
2,46,250,6.32,33.943
2,47,282,6.05,33.95
2,48,300,5.95,33.957
2,49,379,5.6,34
2,50,400,5.5,34.016
2,51,500,5.02,34.101
2,52,565,4.74,34.16
2,53,600,4.62,34.188
2,54,700,4.33,34.259
2,55,800,4.08,34.319
2,56,840,3.99,34.34
2,57,900,3.85,34.354
2,58,1000,3.62,34.378
2,59,1100,3.38,34.403
2,60,1200,3.15,34.429
2,61,1203,3.14,34.43
3,62,0,10.2,32.63
3,63,10,10.05,32.66
3,64,20,9.95,32.66
3,65,22,9.94,32.66
3,66,30,9.92,32.673
3,67,38,9.87,32.68
3,68,49,9.62,32.75
3,69,50,9.66,32.736
3,70,55,9.9,32.66
3,71,73,9.65,32.74
3,72,75,9.62,32.765
3,73,99,9.23,33.12
3,74,100,9.21,33.132
3,75,125,8.79,33.398
3,76,150,8.37,33.605
3,77,191,7.71,33.82
3,78,200,7.58,33.844
3,79,250,6.93,33.926
3,80,290,6.47,33.93
3,81,300,6.37,33.941
3,82,400,5.54,34.041
3,83,488,5.02,34.11
3,84,500,4.97,34.113
3,85,600,4.59,34.135
3,86,700,4.31,34.151
3,87,789,4.14,34.16
3,88,800,4.11,34.169
3,89,900,3.89,34.252
3,90,1000,3.66,34.336
3,91,1100,3.43,34.421
3,92,1134,3.35,34.45
4,93,0,10.4,32.68
4,94,8,10.22,32.7
4,95,10,10.2,32.694
4,96,19,10.14,32.66
4,97,20,10.14,32.657
4,98,30,10.07,32.641
4,100,50,9.72,32.699
4,101,62,9.42,32.79
4,102,75,9.32,32.967
4,103,84,9.27,33.1
4,104,100,9.02,33.286
4,105,125,8.6,33.533
4,106,127,8.56,33.55
4,107,150,8.32,33.746
4,108,164,8.18,33.84
4,109,200,7.71,33.863
4,110,242,7.16,33.89
4,111,250,7.08,33.893
4,112,300,6.61,33.91
4,113,329,6.38,33.75
4,114,400,5.79,33.955
4,115,492,5.14,34
4,116,500,5.1,34.01
4,117,600,4.65,34.128
4,118,700,4.31,34.245
4,119,739,4.21,34.29
4,120,800,4.07,34.309
4,121,900,3.83,34.34
4,122,1000,3.59,34.372
4,123,1085,3.39,34.4
5,124,0,10.5,32.75
5,125,8,10.52,32.75
5,126,10,10.51,32.748
5,127,19,10.48,32.74
5,128,20,10.47,32.74
5,129,30,10.34,32.737
5,131,50,9.85,32.738
5,132,55,9.7,32.74
5,133,71,9.29,32.74
5,134,75,9.2,32.791
5,135,100,9.35,33.42
5,136,125,8.28,33.565
5,137,128,8.24,33.62
5,138,150,7.95,33.724
5,139,191,7.5,33.78
5,140,200,7.42,33.807
5,141,250,6.98,33.938
5,142,255,6.94,33.95
5,143,300,6.54,33.988
5,144,380,5.86,34
5,145,400,5.77,34.012
5,146,500,5.3,34.075
5,147,600,4.83,34.141
5,148,700,4.36,34.211
5,149,755,4.1,34.25
6,150,0,11.6,32.88
6,151,9,11.69,32.86
6,152,10,11.69,32.86
6,153,20,11.66,32.86
6,154,23,11.64,32.86
6,155,30,11.64,32.863
6,156,47,11.64,32.88
6,157,50,11.61,32.882
6,158,71,11.36,32.9
6,159,75,11.18,32.927
6,160,94,10.2,33.1
6,161,100,9.9,33.165
6,162,125,8.83,33.425
6,163,141,8.29,33.58
6,164,150,8.11,33.638
6,165,187,7.65,33.8
6,166,200,7.5,33.833
6,167,250,6.98,33.916
6,168,279,6.72,33.93
6,169,300,6.54,33.944
6,170,377,5.96,33.98
6,171,400,5.78,33.996
6,172,500,5.09,34.073
6,173,568,4.68,34.13
6,174,600,4.54,34.154
6,175,700,4.17,34.225
6,176,800,3.88,34.286
6,177,846,3.78,34.31
6,178,900,3.67,34.321
6,179,1000,3.48,34.342
6,180,1100,3.28,34.363
6,181,1200,3.08,34.385
6,182,1300,2.88,34.408
6,183,1352,2.78,34.42
7,184,0,12.5,33.17
7,185,8,12.66,33.24
7,186,10,12.66,33.212
7,187,20,12.64,33.057
7,188,21,12.64,33.04
7,189,30,12.64,33.068
7,190,43,12.64,33.17
7,191,50,12.64,33.159
7,192,65,12.63,33.13
7,193,75,12.64,33.158
7,194,87,12.66,33.22
7,195,100,12.52,33.283
7,196,125,11.94,33.383
7,197,130,11.77,33.4
7,198,150,10.84,33.42
7,199,172,9.73,33.44
7,200,200,8.9,33.518
7,201,250,7.75,33.672
7,202,254,8.16,33.86
7,203,300,7.03,33.828
7,204,341,6.76,33.95
7,205,400,6.07,33.932
7,206,500,5.21,33.942
7,207,514,5.12,33.8
7,208,600,4.71,33.996
7,209,700,4.38,34.086
7,210,747,4.28,34.14
7,211,800,4.14,34.166
7,212,900,3.89,34.217
7,213,1000,3.63,34.268
7,214,1100,3.37,34.32
7,215,1200,3.11,34.374
7,216,1212,3.08,34.38
8,217,0,12.2,33.13
8,218,7,12.22,32.92
8,219,10,12.22,32.9
8,220,19,12.23,32.84
8,221,20,12.23,32.842
8,222,30,12.23,32.858
8,224,50,12.21,32.891
8,225,55,12.2,32.9
8,226,74,12.24,33.04
8,227,75,12.25,33.042
8,228,100,12.49,33.096
8,229,111,12.6,33.12
8,230,125,11.74,33.164
8,231,150,9.91,33.293
8,232,151,9.83,33.3
8,233,200,8.3,33.66
8,234,217,8.06,33.77
8,235,250,7.61,33.874
8,236,291,7.21,33.93
8,237,300,7.1,33.934
8,238,400,5.93,33.934
8,239,443,5.49,33.91
8,240,500,5.13,33.936
8,241,600,4.67,33.993
8,242,681,4.44,34.05
8,243,700,4.39,34.061
8,244,800,4.11,34.12
8,245,900,3.84,34.179
8,246,1000,3.56,34.24
8,247,1016,3.52,34.25
9,248,0,12,32.97
9,249,9,8.86,32.94
9,250,10,12,32.94
9,251,20,11.99,32.94
9,252,22,11.99,32.94
9,253,30,11.99,32.963
9,254,44,12,33.01
9,255,50,11.95,33
9,256,67,11.7,32.95
9,257,75,11.57,32.983
9,258,90,11.2,33.08
9,259,100,10.67,33.15
9,260,125,9.36,33.356
9,261,134,8.88,33.44
9,262,150,8.56,33.585
9,263,174,8.31,33.78
9,264,200,7.98,33.806
9,266,250,7.38,33.952
9,267,300,6.86,33.946
9,268,319,6.68,33.98
9,269,400,5.94,33.98
9,270,479,5.34,33.98
9,271,500,5.22,33.996
9,272,600,4.73,34.082
9,273,700,4.37,34.18
9,274,719,4.32,34.2
9,275,800,4.11,34.229
9,276,900,3.84,34.266
9,277,1000,3.58,34.304
9,278,1100,3.32,34.343
9,279,1144,3.2,34.36
10,280,0,11.7,32.88
10,281,8,11.62,32.84
10,282,10,11.61,32.84
10,283,19,11.58,32.84
10,284,20,11.58,32.838
10,285,30,11.58,32.821
10,286,39,11.58,32.81
10,287,50,11.56,32.847
10,288,59,11.54,32.88
10,289,75,11.31,32.827
10,290,79,11.23,32.81
10,291,100,10.82,32.936
10,292,120,10.36,33.12
10,293,125,10.21,33.147
10,294,150,9.49,33.284
10,295,162,9.16,33.35
10,296,200,8.71,33.665
10,297,240,8.49,33.95
10,298,250,8.39,33.951
10,299,300,7.91,33.957
10,300,326,7.66,33.96
10,301,400,6.99,34.03
10,302,491,6.24,34.13
10,303,500,6.17,34.134
10,304,600,5.48,34.166
10,305,700,4.89,34.18
10,306,734,4.72,34.18
10,307,800,4.53,34.198
10,308,900,4.23,34.226
10,309,1000,3.94,34.255
10,310,1100,3.65,34.285
10,311,1178,3.42,34.31
11,312,0,11.5,32.77
11,313,8,11.5,32.84
11,314,10,11.5,32.843
11,315,20,11.5,32.858
11,316,21,11.5,32.86
11,317,30,11.52,32.81
11,318,41,11.53,32.75
11,319,50,11.49,32.769
11,320,62,11.42,32.83
11,321,75,11.4,32.908
11,322,82,11.37,32.95
11,323,100,11.13,32.983
11,324,123,10.63,33.04
11,325,125,10.56,33.058
11,326,150,9.73,33.302
11,327,167,9.17,33.49
11,328,200,8.66,33.706
11,329,247,8.28,33.89
11,330,250,8.25,33.898
11,331,300,7.78,33.994
11,332,327,7.55,34.02
11,333,400,6.93,34.089
11,334,481,6.3,34.13
11,335,500,6.16,34.131
11,336,600,5.48,34.13
11,337,700,4.9,34.131
11,338,720,4.8,34.13
11,339,800,4.55,34.187
11,340,900,4.24,34.258
11,341,1000,3.93,34.332
11,342,1100,3.63,34.406
11,343,1118,3.57,34.42
12,344,0,11.4,32.95
12,345,9,11.38,32.9
12,346,10,11.38,32.896
12,347,20,11.39,32.864
12,348,22,11.39,32.86
12,349,30,11.39,32.86
12,350,45,11.4,32.86
12,351,50,11.35,32.846
12,352,67,11.23,32.81
12,353,75,11.35,32.866
12,354,90,11.49,33.01
12,355,100,11.07,33.087
12,356,125,9.79,33.286
12,357,135,9.19,33.37
12,358,150,8.87,33.495
12,359,176,8.56,33.69
12,360,200,8.24,33.788
12,361,250,7.61,33.936
12,362,257,7.53,33.57
12,363,300,6.93,34.005
12,364,345,6.34,34
12,365,400,5.87,34.05
12,366,500,5.28,34.105
12,367,519,5.2,34.11
12,368,600,4.8,34.144
12,369,700,4.39,34.179
12,370,776,4.13,34.2
12,371,800,4.07,34.207
12,372,900,3.85,34.238
12,373,1000,3.62,34.269
12,374,1100,3.39,34.301
12,375,1190,3.18,34.33
13,376,0,11.5,32.84
13,377,9,11.48,32.78
13,378,10,11.48,32.781
13,379,20,11.47,32.798
13,380,24,11.47,32.81
13,381,30,11.47,32.782
13,382,47,11.48,32.7
13,383,50,11.48,32.709
13,384,71,11.45,32.77
13,385,75,11.4,32.793
13,386,94,10.97,32.92
13,387,100,10.71,32.95
13,388,125,9.6,33.104
13,389,140,8.9,33.22
13,390,150,8.62,33.342
13,391,180,7.98,33.69
13,392,200,7.69,33.686
13,393,250,7.11,33.706
13,394,274,6.9,33.73
13,395,300,6.55,33.73
13,396,371,5.68,33.73
13,397,400,5.51,33.786
13,398,500,5.11,34.006
13,399,550,5.04,34.13
13,400,600,4.85,34.187
13,401,700,4.49,34.269
13,402,800,4.14,34.308
13,403,818,4.08,34.31
13,404,900,3.89,34.315
13,405,1000,3.65,34.321
13,406,1100,3.42,34.328
13,407,1200,3.18,34.337
13,408,1238,3.09,34.34
14,409,0,11.3,32.79
14,410,10,11.25,32.81
14,411,20,11.18,32.803
14,412,25,11.1,32.79
14,413,30,10.88,32.843
14,414,50,9.88,33.08
14,415,74,9.4,33.08
14,416,75,9.39,33.093
14,417,99,9.1,33.48
14,418,100,9.08,33.492
14,419,125,8.67,33.724
14,420,149,8.26,33.84
14,421,150,8.25,33.842
14,422,200,7.57,33.859
14,423,203,7.53,33.86
14,424,250,6.95,33.92
14,425,300,6.42,33.98
14,426,400,5.71,33.952
14,427,405,5.68,33.95
14,428,500,5.22,34.069
14,429,600,4.85,34.225
14,430,603,4.84,34.23
14,431,700,4.52,34.28
14,432,800,4.23,34.307
14,433,886,4.01,34.31
14,434,900,3.98,34.313
14,435,1000,3.76,34.332
14,436,1100,3.54,34.352
14,437,1200,3.32,34.372
14,438,1300,3.1,34.394
14,439,1327,3.04,34.4
15,440,0,10.9,33.01
15,441,10,10.77,32.92
15,442,20,10.61,33.033
15,443,24,10.53,33.1
15,444,30,10.35,33.141
15,446,50,9.75,33.243
15,447,73,9.38,33.3
15,448,75,9.33,33.309
15,449,97,8.82,33.42
15,450,100,8.77,33.444
15,451,125,8.43,33.636
15,452,145,8.2,33.78
15,453,150,8.12,33.799
15,454,192,7.47,33.89
15,455,200,7.37,33.897
15,456,250,6.87,33.925
15,457,287,6.62,33.93
15,458,300,6.56,33.944
15,459,386,6.23,34.05
15,460,400,6.15,34.066
15,461,500,5.57,34.163
15,462,578,5.11,34.22
15,463,600,5.01,34.224
15,464,700,4.61,34.235
15,465,800,4.27,34.229
15,466,846,4.14,34.22
15,467,900,4.01,34.23
15,468,1000,3.76,34.25
15,469,1100,3.51,34.271
15,470,1200,3.27,34.292
15,471,1279,3.07,34.31
16,472,0,11,33.28
16,473,10,10.89,33.3
16,474,20,10.83,33.319
16,476,30,10.8,33.345
16,477,50,10.61,33.416
16,478,51,10.6,33.42
16,479,75,9.89,33.567
16,480,77,9.82,33.58
16,481,100,9.27,33.671
16,482,103,9.21,33.68
16,483,125,8.88,33.732
16,484,150,8.61,33.789
16,485,155,8.57,33.8
16,486,200,8.19,33.985
16,487,204,8.16,34
16,488,250,7.66,34
16,489,300,7.17,34
16,490,304,7.13,34
16,491,400,6.72,34.1
16,492,408,6.7,34.11
16,493,500,6.11,34.169
16,494,600,5.43,34.217
16,495,607,5.38,34.22
16,496,700,4.9,34.269
16,497,792,4.5,34.31
16,498,800,4.48,34.311
16,499,900,4.21,34.319
16,500,1000,3.95,34.329
16,501,1100,3.69,34.339
16,502,1106,3.67,34.34
17,503,0,12,33.31
17,504,10,11.88,33.26
17,505,20,11.74,33.265
17,506,25,11.66,33.28
17,507,30,11.55,33.296
17,508,50,11.12,33.39
17,509,75,10.8,33.55
17,510,100,10.43,33.51
17,511,125,9.88,33.793
17,512,150,9.29,33.87
17,513,200,8.42,33.91
17,514,250,7.84,33.957
17,515,300,7.5,34.09
17,516,400,6.59,34.09
17,517,500,6.18,34.16
17,518,600,5.62,34.191
17,519,641,5.42,34.14
17,520,700,5.2,34.225
17,521,800,4.82,34.261
17,522,873,4.55,34.29
18,523,0,11.8,32.92
18,525,20,11.51,32.937
18,526,24,11.46,32.94
18,527,30,11.36,32.929
18,529,50,11.03,32.917
18,530,71,10.64,32.95
18,531,75,10.53,32.977
18,532,95,9.92,33.15
18,533,100,9.75,33.206
18,534,125,9,33.477
18,535,143,8.56,33.66
18,536,150,8.49,33.702
18,537,190,8.31,33.86
18,538,200,8.23,33.891
18,539,250,7.8,34.009
18,540,283,7.46,34.05
18,541,300,7.27,34.05
18,542,381,6.44,34.05
18,543,400,6.32,34.061
18,544,500,5.8,34.127
18,545,567,5.56,34.18
18,546,600,5.38,34.199
18,547,700,4.87,34.251
18,548,800,4.39,34.295
18,549,840,4.21,34.31
18,550,900,4.06,34.323
18,551,1000,3.82,34.345
18,552,1100,3.58,34.368
18,553,1152,3.45,34.38
19,554,0,12.5,32.95
19,555,10,12.5,33.027
19,556,17,12.44,33.08
19,557,20,12.43,33.072
19,558,28,12.3,33.04
19,559,30,12.19,33.029
19,561,50,11.12,32.972
19,562,65,10.72,32.99
19,563,75,10.65,33.068
19,564,91,10.53,33.22
19,565,100,10.52,33.29
19,566,115,10.5,33.12
19,567,125,10.29,33.47
19,568,150,9.7,33.626
19,569,200,8.25,33.874
19,570,204,8.12,33.89
19,571,250,7.5,33.878
19,572,296,7.08,33.17
19,573,300,7.04,33.891
19,574,393,6.18,33.98
19,575,400,6.13,33.982
19,576,500,5.5,34.004
19,577,575,5.14,34.02
19,578,600,5.03,34.033
19,579,700,4.65,34.085
19,580,800,4.33,34.138
19,581,840,4.22,34.16
19,585,1149,3.45,34.07
20,586,0,13.7,33.35
20,587,9,13.67,33.22
20,588,10,13.67,33.222
20,589,20,13.67,33.238
20,590,21,13.67,33.24
20,591,30,13.6,33.206
20,592,41,13.51,33.17
20,593,50,13.48,33.217
20,594,60,13.47,33.26
20,595,75,13.43,33.159
20,596,79,13.42,33.13
20,597,100,13.5,33.247
20,598,118,13.56,33.42
20,599,125,13.27,33.379
20,600,150,12.03,33.209
20,601,158,11.56,33.15
20,602,200,9.83,33.323
20,603,234,8.79,33.6
20,604,250,8.53,33.699
20,605,300,8,33.958
20,606,310,7.95,34
20,607,400,6.99,33.959
20,608,491,6.13,33.95
20,609,500,6.08,33.959
20,610,600,5.52,34.057
20,611,700,4.95,34.16
20,612,766,4.58,34.23
21,613,0,14,33.22
21,614,9,13.97,33.15
21,615,10,13.94,33.15
21,616,20,13.6,33.15
21,617,22,13.52,33.15
21,618,30,13.44,33.234
21,619,41,13.32,33.3
21,620,50,13.35,33.235
21,621,57,13.38,33.19
21,622,74,13.34,33.37
21,623,75,13.33,33.369
21,624,100,13.17,33.34
21,625,113,13.08,33.19
21,626,125,12.29,33.285
21,627,150,10.54,33.208
21,628,155,10.17,33.19
21,629,200,9.96,33.614
21,630,238,9.79,34
21,631,250,9.56,34.041
21,632,300,8.52,34.135
21,633,322,8.01,34.14
21,634,400,7.06,34.213
21,635,500,6.28,34.239
21,636,519,6.19,34.25
21,637,600,5.59,34.237
21,638,700,4.96,34.225
21,639,793,4.47,34.22
22,646,0,13.9,33.17
22,647,10,13.13,33.15
22,648,20,12.84,33.137
22,649,25,12.8,33.13
22,650,30,12.8,33.13
22,651,49,12.7,33.13
22,652,50,12.66,33.127
22,653,74,11.62,33.06
22,654,75,11.59,33.061
22,655,99,10.89,33.12
22,656,100,10.85,33.124
22,657,125,9.96,33.249
22,658,148,9.2,33.4
22,659,150,9.16,33.415
22,660,195,8.42,33.73
22,661,200,8.34,33.755
22,662,250,7.6,33.943
22,663,279,7.22,34
22,664,300,7.02,33.985
22,665,400,6.27,33.962
22,666,406,6.24,33.96
22,667,500,5.64,34.035
22,668,600,5.08,34.119
22,669,700,4.6,34.207
22,670,714,4.54,34.22
22,675,1110,3.11,33.93
23,676,0,13.9,33.08
23,677,8,13.73,33.19
23,678,10,13.67,33.19
23,679,19,13.37,33.15
23,680,20,13.36,33.15
23,681,30,13.19,33.142
23,682,37,13,33.13
23,683,50,12.02,33.027
23,684,54,11.69,33.01
23,685,71,10.87,33.21
23,686,75,10.72,33.222
23,687,100,9.9,33.26
23,688,107,9.72,33.26
23,689,125,9.22,33.405
23,690,143,8.78,33.57
23,691,150,8.66,33.616
23,692,200,8.01,33.847
23,693,205,7.96,33.86
23,694,250,7.42,33.925
23,695,260,7.3,33.93
23,696,300,6.76,33.953
23,697,374,5.9,34
23,698,391,5.77,34.02
23,701,593,4.19,33.86
24,702,0,13.7,33.12
24,703,9,13.26,33.15
24,704,10,13.22,33.15
24,705,20,12.86,33.15
24,706,23,12.76,33.15
24,707,30,12.46,33.179
24,708,46,11.72,33.24
24,709,50,11.54,33.229
24,710,67,10.78,33.19
24,711,75,10.41,33.217
24,712,89,9.83,33.3
24,713,100,9.53,33.394
24,714,125,9.03,33.611
24,715,134,8.92,33.69
24,716,150,8.68,33.783
24,717,181,8.31,33.91
24,718,200,8.13,33.939
24,719,250,7.71,33.939
24,720,275,7.52,33.95
24,721,300,7.25,33.963
24,722,368,6.56,33.8
24,723,400,6.35,34.015
24,724,500,5.85,34.065
24,725,552,5.67,34.09
24,726,600,5.45,34.099
24,727,700,5.03,34.121
24,728,800,4.63,34.147
24,729,842,4.48,34.16
24,730,900,4.31,34.211
24,731,1000,4.03,34.299
24,732,1100,3.74,34.388
24,733,1190,3.48,34.47
25,734,0,13.9,33.13
25,735,10,13.44,33.12
25,736,20,13.2,33.169
25,737,24,13.13,33.19
25,738,30,13.02,33.185
25,739,47,12.59,33.15
25,740,50,12.44,33.158
25,741,70,11.4,33.21
25,742,75,11.23,33.196
25,743,92,10.71,33.15
25,744,100,10.4,33.18
25,745,125,9.5,33.349
25,746,138,9.09,33.48
25,747,150,8.9,33.601
25,748,186,8.56,33.93
25,749,200,8.43,33.988
25,750,250,7.95,34.026
25,751,279,7.67,34.07
25,752,300,7.43,34.061
25,753,370,6.64,34.02
25,754,400,6.36,34.046
25,755,500,5.58,34.167
25,756,553,5.26,34.25
25,757,600,5.11,34.27
25,758,700,4.79,34.313
25,759,800,4.47,34.358
25,760,890,4.18,34.4
26,761,0,13.6,33.13
26,762,9,12.98,33.15
26,763,10,12.93,33.149
26,764,20,12.56,33.132
26,765,21,12.54,33.13
26,766,30,12.5,33.131
26,767,41,12.48,33.15
26,768,50,12.18,33.177
26,769,60,11.8,33.24
26,770,75,11.44,33.441
26,771,78,11.38,33.48
26,772,100,10.83,33.457
26,773,116,10.37,33.39
26,774,125,10.02,33.435
26,775,150,9.05,33.607
26,776,154,8.9,33.64
26,777,200,8.05,33.864
26,778,235,7.7,33.96
26,779,250,7.49,33.968
26,780,300,6.86,33.96
26,781,312,6.72,33.95
26,782,376,6.19,33.98
26,783,400,6.04,33.999
26,784,500,5.49,34.083
26,785,600,5.09,34.17
26,786,634,4.98,34.2
26,787,700,4.79,34.221
26,788,800,4.49,34.253
26,789,900,4.19,34.288
26,790,1000,3.9,34.323
26,791,1020,3.84,34.33
27,792,0,14.2,33.37
27,793,9,13.66,33.33
27,794,10,13.62,33.326
27,795,20,13.29,33.289
27,796,23,13.2,33.28
27,797,30,12.88,33.28
27,798,45,12.17,33.28
27,799,50,11.96,33.28
27,800,67,11.32,33.28
27,801,75,11.05,33.291
27,802,89,10.59,33.33
27,803,100,10.21,33.401
27,804,125,9.43,33.598
27,805,134,9.18,33.68
27,806,150,8.84,33.806
27,807,180,8.34,34
27,808,200,8.1,33.984
27,809,250,7.56,33.962
27,810,274,7.35,33.96
27,811,300,7.01,33.961
27,812,365,6.24,33.98
27,813,400,6.04,33.987
27,814,500,5.67,34.02
27,815,545,5.6,34.04
27,816,600,5.37,34.103
27,817,700,4.97,34.218
27,818,800,4.57,34.335
27,819,821,4.49,34.36
27,824,1201,3.41,34.2
28,825,0,14.37,33.55
28,826,9,14.23,33.55
28,827,10,14.22,33.55
28,828,20,14.05,33.546
28,829,26,19.76,33.53
28,830,30,13.83,33.534
28,831,48,13.3,33.49
28,832,50,13.22,33.478
28,833,74,12.08,33.37
28,834,75,12.03,33.371
28,835,100,10.77,33.46
28,836,125,10.13,33.575
28,837,149,9.78,33.71
28,838,150,9.76,33.718
28,839,198,8.99,34.09
28,840,200,8.96,34.09
28,841,250,8.33,34.09
28,842,298,7.8,34.09
28,843,300,7.78,34.089
28,844,399,6.73,34.05
28,845,400,6.73,34.051
28,846,500,6.55,34.183
28,847,598,6.38,34.31
28,848,600,6.37,34.312
28,849,700,5.82,34.374
28,850,800,5.23,34.413
28,851,896,4.63,34.43
28,852,900,4.62,34.43
28,853,1000,4.3,34.419
28,854,1100,3.98,34.41
28,855,1200,3.66,34.403
28,856,1244,3.52,34.4
29,857,0,13.6,33.42
29,858,9,13.65,33.49
29,859,10,13.64,33.49
29,860,20,13.57,33.49
29,861,25,13.52,33.49
29,862,30,13.51,33.521
29,863,46,13.48,33.6
29,864,50,13.49,33.587
29,865,70,13.52,33.51
29,866,75,13.46,33.516
29,867,92,13.06,33.48
29,868,100,12.56,33.489
29,869,125,10.93,33.574
29,870,136,10.18,33.64
29,871,150,9.79,33.723
29,872,180,9.31,33.89
29,873,200,8.87,33.961
29,874,250,7.87,34.09
29,875,279,7.36,34.13
29,876,300,7.15,34.154
29,877,381,6.63,34.2
29,878,400,6.56,34.203
29,879,500,6.2,34.223
29,880,582,5.9,34.24
30,881,0,13.2,33.49
30,882,9,13.26,33.49
30,883,10,13.26,33.492
30,884,20,13.16,33.517
30,885,26,13.65,33.52
30,886,30,12.96,33.544
30,887,49,12.28,33.6
30,888,50,12.23,33.601
30,889,75,10.87,33.62
30,890,100,10.16,33.62
30,891,102,10.12,33.62
30,892,125,9.8,33.721
30,893,150,9.53,33.849
30,894,152,9.51,33.86
30,895,200,8.61,33.947
30,896,203,8.55,33.95
30,897,250,7.82,34.05
30,898,300,7.2,34.131
30,899,307,7.13,34.14
30,900,400,6.48,34.091
30,901,409,6.44,34.09
30,902,500,6.04,34.161
30,903,600,5.68,34.274
30,904,612,5.64,34.29
30,905,700,5.25,34.328
30,906,800,4.83,34.373
30,907,900,4.42,34.422
30,908,917,4.35,34.43
30,912,1263,3.36,34.65